,index,Unnamed: 0,date,text
0,0,0,Thu Nov 11 23:59:58 +0000 2021,"Bloomberg: 

“Moderna acknowledged the company’s vaccine does appear linked to increased chances of an inflammatory heart condition known as myocarditis in young men.”

Moderna share price down 34% in 11 days.

https://t.co/Nb8tFlSIDp"
1,1,1,Thu Nov 11 23:57:47 +0000 2021,FDA recalls 2.2 million Ellume COVID-19 home tests due to false positives https://t.co/wtssOMzQlb
2,2,2,Thu Nov 11 23:52:01 +0000 2021,"Moderns vaccine has caused heart problems.

Moderna Defends Covid Shot as Questions on Heart Risks Mount https://t.co/WYGtjkZ4CK"
3,3,3,Thu Nov 11 23:51:31 +0000 2021,LAPD chief ready to fire officers who defy vaccine mandate https://t.co/qomiULw0jo
4,7,7,Thu Nov 11 23:47:03 +0000 2021,"Michel Moore, head of the nation's second-largest police department, said he wants ""a fully vaccinated workforce."" https://t.co/IzQ7MWvcV2"
5,8,8,Thu Nov 11 23:46:03 +0000 2021,"Cases: 251,863,804 (+0) 
Deaths: 5,078,600 (+95) 
Recovered: 0 (+0) 
Active Cases: 251,863,804 (100%)
Completed Cases: 5,078,600 (2.02%)
Mortality Rate: 2.02% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome"
6,11,11,Thu Nov 11 23:44:02 +0000 2021,"Cases: 251,863,804 (+6,851) 
Deaths: 5,078,505 (+0) 
Recovered: 0 (+0) 
Active Cases: 251,863,804 (100%)
Completed Cases: 5,078,505 (2.02%)
Mortality Rate: 2.02% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome"
7,16,16,Thu Nov 11 23:40:17 +0000 2021,10 states sue Biden administration over COVID-19 vaccine requirement for health care workers  https://t.co/GtU0FegsVh
8,25,25,Thu Nov 11 23:34:10 +0000 2021,"“VSRF - Dr Urso discusses vax and children” with @kwstewart94, @PatokaMartha, @AGriffithsDC, Gloria Britstone, Fran Fainer, and Covid Special Events. Today, Nov 11 at 5:00 PM MST in @clubhouse! https://t.co/wXh4JuLlr0"
9,34,34,Thu Nov 11 23:30:19 +0000 2021,New COVID-19 Data at 2021-11-11 06:30:00 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/WBXg7ACCqK
10,35,35,Thu Nov 11 23:29:56 +0000 2021,"#mvmf2021 #mvmf2022 #paintnight #paintlounge #broadtree @MainMarkham 
.
Festival Pop-Up Sat Nov 20 7:00-9:30 pm. Tickets are $45 for in studio (limited as per Covid-19 protocols) or virtual. Registration link in our profile and here https://t.co/bCrWgzuL6F https://t.co/4vvGvB6hH6"
11,51,51,Thu Nov 11 23:22:25 +0000 2021,Why aren't more pregnant women of color getting vaccinated? Doctors point to distrust and poor outreach https://t.co/iylkvPojgs
12,59,59,Thu Nov 11 23:20:34 +0000 2021,"@JakBeula is our special guest on @5InTheEye on @colourfulradio - Friday between 09.00 and 10.00 GMT. Please do me and @michael1952 as we get Jak’s views on the scandal at Yorkshire CCC, Covid vaccines in the NHS and the coverage of his plaque paying tribute to Fela Kuti. https://t.co/9QACGI6qU1"
13,73,73,Thu Nov 11 23:15:39 +0000 2021,"@ABC7NY so watching the 6:00 news. It was reported that a second NYC closed because of COVID,and that COVID still exists.Yet that comment wasn’t made before the marathon. Quite the opposite. Everyone was giddy. So does COVID only exist in schools and not in a crowd of 33k runners"
14,78,78,Thu Nov 11 23:13:34 +0000 2021,"#TranslatingEuropeWorkshop: “Impact of COVID on language and translator’s work”
🗓️ 11/11/2021, 10.00 (CET) 📍 Slovakia. Web streaming on Translating for Europe YouTube.
1st part: https://t.co/3SkWQ0vJlo
2nd part: https://t.co/bcg7mOPMaX
#Translation #xl8 #languages https://t.co/iBjtg0sD2Z"
15,81,81,Thu Nov 11 23:09:22 +0000 2021,"📣 A special Climate Change and Islands #COP26 event taking place today (16:00 – 18:00 GMT) will include the launch of the #COVID19 Island Insights Series Final Report (https://t.co/55NcWArX03), an initiative led by @scelg,  ...

(1/6) https://t.co/8ABgpVrbQC"
16,84,84,Thu Nov 11 23:08:30 +0000 2021,"https://t.co/7tYGNoQKgZ

What a cluster fuck!"
17,97,97,Thu Nov 11 23:00:19 +0000 2021,New COVID-19 Data at 2021-11-11 06:00:00 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/6Ku3kJNj7z
18,98,98,Thu Nov 11 22:58:03 +0000 2021,"Cases: 251,856,953 (+31,520) 
Deaths: 5,078,505 (+0) 
Recovered: 0 (+0) 
Active Cases: 251,856,953 (100%)
Completed Cases: 5,078,505 (2.02%)
Mortality Rate: 2.02% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome"
19,100,100,Thu Nov 11 22:57:09 +0000 2021,Moderna Defends Covid Shot as Questions on Heart Risks Mount https://t.co/nh1gAnXWTi
20,106,106,Thu Nov 11 22:49:19 +0000 2021,"Moderna Says COVID-19 Vax Associated With Fewer Cases Than Pfizer's, But Higher Inflammatory Heart Conditions https://t.co/aTqGvh2XCF"
21,110,110,Thu Nov 11 22:46:03 +0000 2021,"Cases: 251,825,433 (+0) 
Deaths: 5,078,505 (+233) 
Recovered: 0 (+0) 
Active Cases: 251,825,433 (100%)
Completed Cases: 5,078,505 (2.02%)
Mortality Rate: 2.02% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome"
22,112,112,Thu Nov 11 22:41:38 +0000 2021,"Hat tip to @NYCHealthSystem CHS partners for their work in DOC facilities to protect staff &amp; people in custody from COVID. As of 11.8.21 the citywide % of tests coming back positive was 1.55%. As of 11.8.21, @CorrectionNYC average was 0.00%. https://t.co/OvuxIdkC2P"
23,118,118,Thu Nov 11 22:38:24 +0000 2021,"TheCOVISION Project @ucddublin funded by @hrbireland  @IrishResearch  invite you to join our online celebration to mark International Children's Day entitled: ""A Better Normal"" post-COVID-19.
Date:25th of November 2021: (08.00-10.00) Registration is open: https://t.co/jbRtjCvT8A https://t.co/DFcw64SE2f"
24,122,122,Thu Nov 11 22:31:00 +0000 2021,"Covid-19 Booster Clinic! All are welcome!
Friday, November 12th, 2021 from 8:00 AM - 5:00 PM at Bay-Arenac ISD Career Center. https://t.co/vmQhy6sTNa"
25,124,124,Thu Nov 11 22:30:19 +0000 2021,New COVID-19 Data at 2021-11-11 05:30:00 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/EQE8dv6ZGd
26,129,129,Thu Nov 11 22:23:26 +0000 2021,"COVID TRUMP Thu, 11 Nov 2021 16:00:00 CST"
27,130,130,Thu Nov 11 22:23:25 +0000 2021,"COVID TRUMP Thu, 11 Nov 2021 15:00:00 CST"
28,134,134,Thu Nov 11 22:22:48 +0000 2021,Bitch ass still ain’t going catching nothing but Covid 😂😂 https://t.co/WTMK7BdUI2
29,141,141,Thu Nov 11 22:14:43 +0000 2021,"@GaryRitz4 @RepDanBishop Funny, had more demand pre Covid with booming economy and gas was $2.00"
30,145,145,Thu Nov 11 22:08:14 +0000 2021,"” Professor John Ioannidis of Stanford University, quotes an infection fatality rate (IFR) for Covid of 0.00-0.57% (0.05% for under 70s), far lower than originally feared and no different to severe flu Bulletin of the WHO Research Article ID: BLT.20.265892 Page 1. 14 Oct 2020 https://t.co/bgzWytODIj"
31,148,148,Thu Nov 11 22:06:33 +0000 2021,"Check out this important upcoming event from @CIANJ member @HUBInsurance on Nov. 18 -- ""COVID Vaccine OSHA Emergency Temporary Standards"" from 2:00 PM - 3:00 PM. Click the link to register. https://t.co/4wI7O6AUiL https://t.co/puIU9YIqam"
32,149,149,Thu Nov 11 22:06:21 +0000 2021,"What can we learn from the community response to #COVID-19 to inform earlier diagnosis of #cancer and improve #CVD diagnosis and prevention? Join @THCAlliance digital event on Tuesday 16 Nov at 14:00 to learn more, register here https://t.co/ehu9UJdp8A #Core20PLUS5 #narrowthegap"
33,150,150,Thu Nov 11 22:06:02 +0000 2021,"#EU40Talks💬| How can we best address continued threats of this #pandemic and prepare for future #health crises?

Join MEP @nicustefanuta on 16 Nov @ 14:00 CET at our expert roundtable to discuss how we can #BuildBackBetter together!

Register now:
🔗https://t.co/a5hDDI8HcP https://t.co/TqYGTHr1nA"
34,153,153,Thu Nov 11 22:03:01 +0000 2021,"""Covid is likely to do for public health what 9/11 did for the security state. Going through an airport, we still take off our shoes – because twenty years ago, some clown tried to light his shoe on fire""

https://t.co/WnkFM1rpD9"
35,158,158,Thu Nov 11 22:00:21 +0000 2021,New COVID-19 Data at 2021-11-11 05:00:00 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/LgAVQJS1Nx
36,160,160,Thu Nov 11 21:58:55 +0000 2021,"The Windsor-Essex County Health Unit  is holding another Walk-in Covid-19 Vaccine Clinic next Thursday, November 18th at Connections between 1:00 p.m. - 5:00 p.m.

No registration required. Child care will be provided by Registered Early Childhood Educators at no cost.
@TheWECHU https://t.co/ImGmvynKs4"
37,162,162,Thu Nov 11 21:56:03 +0000 2021,"Cases: 251,825,433 (+29,613) 
Deaths: 5,078,272 (+0) 
Recovered: 0 (+0) 
Active Cases: 251,825,433 (100%)
Completed Cases: 5,078,272 (2.02%)
Mortality Rate: 2.02% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome"
38,167,167,Thu Nov 11 21:51:47 +0000 2021,"Ted Cruz called Big Bird getting COVID-19 vaccine ""propaganda."" This isn't the first time Sesame Street encouraged kids to get important vaccines. https://t.co/YuaKhdZ9Wy"
39,171,171,Thu Nov 11 21:48:39 +0000 2021,"Coming on Thursday November 11th 21.00 on Sky Arts is a film of David Hare’s Beat the Devil”, starring Ralph Fiennes. 

The brilliant script surprisedly mention me &amp; includes discussion of how COVID-19 causes sticky blood &amp; beautifully describes the signs &amp; symptoms of DVT &amp; PE https://t.co/AcTfJh4s0D"
40,176,176,Thu Nov 11 21:44:03 +0000 2021,"Cases: 251,795,820 (+0) 
Deaths: 5,078,272 (+340) 
Recovered: 0 (+0) 
Active Cases: 251,795,820 (100%)
Completed Cases: 5,078,272 (2.02%)
Mortality Rate: 2.02% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome"
41,178,178,Thu Nov 11 21:42:17 +0000 2021,"Moderna Defends Covid Shot as Questions on Heart Risks Mount https://t.co/KqME4UUYSr Follow the lemmings.  It's all gonna be okay.  After all, the biomedical empire says so!"
42,182,182,Thu Nov 11 21:40:12 +0000 2021,#Moderna Defends Covid Shot as Questions on Heart Risks Mount https://t.co/htITmk4lxS
43,187,187,Thu Nov 11 21:33:11 +0000 2021,"Our Friends at @COVIDSupportVT  have new Workshops – MONDAY the 15th!

Financial Wellness Basics | Mondays Starting November15th, noon
Skills for Psychological Recovery: Supporting the Long-term Impact of COVID | November 15th, from 2:00 – 4:00 PM

https://t.co/xCfol7BJDF"
44,188,188,Thu Nov 11 21:30:20 +0000 2021,New COVID-19 Data at 2021-11-11 04:30:00 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/IQ47aVyyLr
45,189,189,Thu Nov 11 21:26:29 +0000 2021,10 states sue Biden administration over COVID-19 vaccine requirement for health care workers https://t.co/dMZCWEGpg6
46,190,190,Thu Nov 11 21:24:13 +0000 2021,I’m not Real impressed with paying $5.00 lb for Porkchops  but what’s a guy gonna do when there is a Supply chain issue and COVID going on https://t.co/ll1bKkaycv
