,date,text
0,Thu Nov 11 23:59:58 +0000 2021,"Bloomberg: 

“Moderna acknowledged the company’s vaccine does appear linked to increased chances of an inflammatory heart condition known as myocarditis in young men.”

Moderna share price down 34% in 11 days.

https://t.co/Nb8tFlSIDp"
1,Thu Nov 11 23:54:48 +0000 2021,"Please find the vaccination schedule for 9th November'21, 18 years and above, 10:00 am to 5:00 pm.

1⃣ 1st and 2nd both dose of Covisheild will be administrated mentioned on above sites, Please refer to the screenshot. https://t.co/ilXqpwyccs"
2,Thu Nov 11 23:54:12 +0000 2021,"Please find the vaccination schedule for 10th November'21, 18 years and above, 10:00 am to 5:00 pm.

1⃣ 1st and 2nd both dose of Covisheild will be administrated mentioned on above sites, Please refer to the screenshot. https://t.co/YEqYjj1RR3"
3,Thu Nov 11 23:52:01 +0000 2021,"Moderns vaccine has caused heart problems.

Moderna Defends Covid Shot as Questions on Heart Risks Mount https://t.co/WYGtjkZ4CK"
4,Thu Nov 11 23:30:32 +0000 2021,"Tonight at 20:00 ET, the new episode of #TheNightShow will premiere: ""Pfizer CEO, Highlights Of Rittenhouse Trial And Much More"" 

*Remember to give a like and subscribe to The Night Show to support us.
https://t.co/IOw2MHDNf8"
5,Thu Nov 11 23:07:40 +0000 2021,"VACCINE CLINICS
Friday, November 12
9:00 am-1:00 pm
Pfizer/J&amp;J/Moderna [1st/2nd/3rd doses/Boosters for those who qualify] and Flu (for all adults and children over the age of 6 months)
St Joseph's House-Hospitality
1635 Bedford Ave Pittsburgh, 15219 https://t.co/AhCKndDU0k"
6,Thu Nov 11 23:00:02 +0000 2021,"Reiner Fuellmich and the mRNA vaccine inventor discuss the Nuremberg trials 👇👇

Full interview (starts at 2:21:00)
https://t.co/0iqOxHyDRz

#Nuremberg2 #PfizerVaccine #Moderna #CrimesAgainstHumanity https://t.co/zzjiYFlSBd"
7,Thu Nov 11 22:57:09 +0000 2021,Moderna Defends Covid Shot as Questions on Heart Risks Mount https://t.co/nh1gAnXWTi
8,Thu Nov 11 22:49:19 +0000 2021,"Moderna Says COVID-19 Vax Associated With Fewer Cases Than Pfizer's, But Higher Inflammatory Heart Conditions https://t.co/aTqGvh2XCF"
9,Thu Nov 11 22:46:25 +0000 2021,Riverside is hosting a vaccination clinic this Saturday from 10:00-1:30pm. Details are below. @RPS535 @RiversideOtters https://t.co/vM41F56Mn2
10,Thu Nov 11 21:47:07 +0000 2021,"@c0mf0rta61ynum6 @USA_CheapSeats @RBReich It’s a cure for the virus not a vaccine! If it is in the Pfizer’s new pill and cost 700.00 it’s is a scam but if you can give it as a treatment for humans why not but it doesn’t need to be sold as a pill !
This is so a scam by Pfizer !"
11,Thu Nov 11 21:40:12 +0000 2021,#Moderna Defends Covid Shot as Questions on Heart Risks Mount https://t.co/htITmk4lxS
12,Thu Nov 11 21:22:33 +0000 2021,"Back @HamiltonLibrary Barton Branch

🗓 Saturday November 13
⏰ 12:00-3:00
💉Pfizer
🙋🏾Everyone 12+
📍571 Barton St E 

?? about the vaccine? Drop by and chat with our medical team

Need help with transportation? Email: Covidvaccine@newcomerhealth.ca
#hamont #covidvacccine https://t.co/ssRq3boJQF"
13,Thu Nov 11 20:42:40 +0000 2021,"@FD2you @AristotleMrs @RoyPentland @DawnTJ90 @DanielA84612544 @StormSignalSA @Michael_D_Crow @thinks_about_it @Climatehope2 @Sir_Kaz_Cow @Gordon_DHG @Narvuntien @PeterWh93433247 @Canadianworker2 @WinWithScience @pckrs1 @Nodilbit @JoeShaw111 @omnisophos @insane_voice @ejwwest @TheDisproof @RieneRichard @Robert76907841 @25_cycle @bomac_macbo @philamina95 @Buster88072979 @IanDJbrown2 @Tony__Heller @MikeDel21893959 @MathewMoisture @rdqBlueRidge @rln_nelson @CazB52 @1Astroturf @wildweatherdan @ronne_robert @Mark_A_Lunn @wilescape @GeoConservative @RobMeekel @GeraldKutney @cjtjgeol @PeZzy @JFowles123 @TyotoRiffle @CliveScott18 @BridgetHolmstro @obannan Fauci is/was scientific leader &amp; Director of (NIAID) &amp; (NIH).

(NIH) is alleged to own half the key patent for Moderna’s COVID vaccine.

“NIH regulations let agency scientists collect up to $150,000.00 annually in royalties.”

https://t.co/AqCYgWoMtl"
14,Thu Nov 11 20:40:27 +0000 2021,"All the Poor People in Africa who have No Home, No Income, No Food or Health Care can now buy Moderna Vaccine for $7.00 . . . a Shot? 
Offered by a Morally BanKrupt Corpoation? 
 
How can a Multi-National Corporation justify Charging for Vaccine in the midst of a Global Pandemic?"
15,Thu Nov 11 20:39:53 +0000 2021,"ATTENTION🚨
Are you within Lira City⁉️ We’ll this Monday 15th November 2021, Front Page Lounge in conjunction with Nile Breweries Limited will be conducting and Open #COVID19 Vaccination Exercise at Front Page Lounge starting at 9:00 AM.
#GetVaccinatedUg https://t.co/GEC2wAmaxq"
16,Thu Nov 11 20:18:53 +0000 2021,"This is our Pfizer jab here in NZ, folks!

Taiwan halts 2nd-dose BioNTech vaccinations for ages 12-17 amid concerns of myocarditis | Taiwan News | 2021-11-10 15:42:00 https://t.co/DDvhYmwNFD"
17,Thu Nov 11 20:09:43 +0000 2021,"In continuing to work to bless the Victoria Village community, ETCBC is partnering with St. Jude Anglican Church and Toronto Public Health on Wed Nov 17, 10:00 a.m. - 4:00 p.m. for another pop-up vaccination clinic. @samwkmo"
18,Thu Nov 11 19:26:35 +0000 2021,"Taiwan suspends 2nd doses of Pfizer for teens over health risk
Published: 11 Nov 2021 | 19:00 GMT
Taiwan suspends 2nd doses of Pfizer for teens over health risk
© Reuters / Dado Ruvic"
