,date,text
414,Fri Nov 12 14:00:55 +0000 2021,"""A Period-Perfect Messiah""
Dec 11, 7:30 pm
Grace United Methodist Church
Baltimore

Dec 12, 3:00 pm
St. Mark Church
Catonsville

Subscriptions, Single &amp; Virtual Tix
https://t.co/nDvOwOlPpn or 667.206.4120
(Code: Handel22 for Groups of 10+)

Vaccination proof &amp; masks required https://t.co/QofE4YDaoQ"
334,Fri Nov 12 00:22:38 +0000 2021,"""【Medicine Buddha Practice @ Powerful Day】It's a time to help purify those who have sickness and those who have already passed. Special dedication to those who passed away or suffer from COVID 19.
12th Nov Friday, 23:15 - 00:00 AEST UTC +10
https://t.co/wTHNutUGAV"" https://t.co/L8cQ8iCxuh"
227,Fri Nov 12 10:48:17 +0000 2021,"#Athens ➡️A service of Remembrance will be held on Sunday 14 November at the @CWGC Cemetery at Alimos, Athens (https://t.co/pXboc786FN) at 12:00 noon. All are very welcome. We kindly ask that all current COVID-19 restrictions are adhered to. https://t.co/7WeetIM8iE"
127,Fri Nov 12 16:15:03 +0000 2021,#COVID-19 rules for galleries change to 2G next week. Today &amp; Saturday are your last chance for the unvaccinated to visit LiTE-HAUS - with a MASK. Open until 19:00 tonight &amp; 12:00-18:00 Saturday. #Berlin #Neukölln #Ausstellung #Kunst #Coronavirus https://t.co/0LRtDSu94x
96,Fri Nov 12 18:08:38 +0000 2021,"#COVID19 Update (as of 11/12/21 at 12:00 am):
• 10,848 additional positive cases of COVID-19
• 1,618,870 total cases statewide
• 32,279 deaths statewide
• 5,800,806 patients tested negative to date

More information: https://t.co/7pzosEXhEX"
226,Fri Nov 12 10:48:19 +0000 2021,#Corfu ➡️A service of Remembrance will be held on Sunday 14 November at the British cemetery at 12:00 noon. All are very welcome. Civil or military decorations may be worn for this occasion. We kindly ask that all current COVID-19 restrictions are adhered to. https://t.co/nkrNM3fMLu
291,Fri Nov 12 04:15:12 +0000 2021,"#Coronavirus #Covid19 #Covid_19 #SARSCoV2 #covid19world
Statistics and research.
11-11-2021 - 23:00
Showing all 3315 publications.
https://t.co/yH9mxAzijG"
231,Fri Nov 12 10:23:22 +0000 2021,"#Covid19 mobile testing units will be in the following #Leeds locations today, open 09:00-15:00.

Friday 12th November

📍 Burley Road, Leeds
📍 Pudsey Civic Hall, Pudsey, Leeds/Bradford
📍 Rowland Rd WMC, Leeds

To book a free test, call 119 or visit https://t.co/6Sf2eJDYIk https://t.co/1iLLUFVsu1"
126,Fri Nov 12 16:17:45 +0000 2021,"#EU40Talks💬 | Building Resilience: What have we learnt from COVID-19 and how to move forward?

Join us on 16 Nov @ 14:00 CET to discuss policy changes needed to ensure better patient outcomes &amp; European #HealthcareSystems sustainability.

🔗REGISTER NOW: https://t.co/Lu6R1br4Em https://t.co/s89G2Zr1kX"
236,Fri Nov 12 09:58:34 +0000 2021,#News AstraZeneca Plans to Start Selling Covid-19 Vaccines at Profit:  Source: AstraZeneca Plans to Start Selling Covid-19 Vaccines at Profit Discovered on: 2021-11-12 09:30:00 AstraZeneca PLC said it would start pricing its Covid-19 vaccine to make it… https://t.co/xXrlAW6Jqx https://t.co/rrkEr19cqb
432,Fri Nov 12 14:09:58 +0000 2021,"#OurShotVT - get your first or second dose or a booster here! Ages 12 and up! Walk-ins welcome! All weekend!
11/12 Berlin Mall, 282 Berlin Mall Rd.
8:00 am - 6:00 pm  Berlin  Pfizer (Ages 12+), Moderna, Johnson &amp; Johnson"
300,Fri Nov 12 03:22:08 +0000 2021,"#PRIME UPDATE 🚨 : Goa today reports 23 new COVID 19 cases on 11/11/2021 and 00 deaths

@GoaGmc  @DHS_Goa

|| #PRIMEGOA #TV_CHANNEL #GOA #PRIMEUPDATE #COVIDVACCINATION #GOAFIGHTSCOVID19 #HEALTHBULLETINE  || https://t.co/kEpWEmEKSt"
309,Fri Nov 12 02:42:51 +0000 2021,"#SuperJunior's #Shindong Halts Activities After Being Diagnosed With COVID-19
https://t.co/7R6QH8Aydr https://t.co/wOHkbF1ZwK"
43,Fri Nov 12 20:57:06 +0000 2021,"#Upcoming #ISBNPA SIG Aging #Webinar: Mobility patterns of older Canadians during the COVID-19 Pandemic: Virtual Spaces and Loneliness | Dec 15 at 21:00 UTC | Speaker: @amberdejohn Moderator: @DrSDogra SIG Chair: @AnneTiedemann1
More information here: https://t.co/VzI25UqOon https://t.co/XB6kobgDRk"
366,Fri Nov 12 13:23:27 +0000 2021,"$ACIU [15s. delayed]: Issued Press Release on November 12, 08:21:00: AC Immune Announces Interim Phase 1b/2a Data Showing that its ACI-35.030 Anti-pTau Alzheimer’s Vaccine Generates a Potent Immune Response https://t.co/tWjbxQidDV"
496,Fri Nov 12 12:27:28 +0000 2021,"$FB [15s. delayed]: Issued Press Release on November 12, 07:25:00: (FB) Alert: Did You Lose Money on Your Meta/Facebook Investment? Contact Johnson Fistel Regarding Investigation https://t.co/vtWuu1yhKE"
255,Fri Nov 12 09:01:17 +0000 2021,"$III [15s. delayed]: Issued Press Release on November 12, 04:00:00: European, UK Contact Centers Adopt Remote Work, Omnichannel Customer Experiences for Post-COVID World https://t.co/PiFgymax6U"
497,Fri Nov 12 11:37:19 +0000 2021,"$JNJ [15s. delayed]: Issued Press Release on November 12, 06:30:00: Johnson &amp;amp; Johnson Announces Plans to Accelerate Innovation, Serve Patients and Consumers, and Unlock Value through Intent to Separate Consumer Health Business https://t.co/ItS849cXE5"
429,Fri Nov 12 22:25:55 +0000 2021,"$MRNA [15s. delayed]: Issued Press Release on November 12, 17:23:00: Moderna Announces Presentation of Interim Data from Phase 1 Study of mRNA Triplet Program at 2021 SITC Annual Meeting https://t.co/k50JMTHcRF"
144,Fri Nov 12 15:20:34 +0000 2021,"$REGN [15s. delayed]: Issued Press Release on November 12, 10:20:00: Regeneron Antibody Cocktail Approved by European Commission to Treat and Prevent COVID-19 https://t.co/NTDgsBFYIH"
142,Fri Nov 12 15:22:51 +0000 2021,"$RO [15s. delayed]: Issued Press Release on November 12, 10:20:00: Ronapreve approved by European Commission to treat non-hospitalised COVID-19 patients and for prophylaxis of the disease https://t.co/LAt80D5wgZ"
141,Fri Nov 12 15:22:52 +0000 2021,"$ROG; OTCQX [15s. delayed]: Issued Press Release on November 12, 10:20:00: Ronapreve approved by European Commission to treat non-hospitalised COVID-19 patients and for prophylaxis of the disease https://t.co/y6U8YoRJfZ"
204,Fri Nov 12 12:12:42 +0000 2021,"$VIR [15s. delayed]: Issued Press Release on November 12, 07:10:00: Primary endpoint met in COMET-TAIL Phase 3 trial evaluating intramuscular administration of sotrovimab for early treatment of COVID-19 https://t.co/DzWwzCR5ks"
219,Fri Nov 12 11:19:29 +0000 2021,"$dominance [15s. delayed]: Issued Press Release on November 12, 06:17:00: Meat Substitutes Market Research Report by Product, by Source, by Type, by Form, by Category, by Region - Global Forecast to 2026 - Cumulative Impact of COVID-19 https://t.co/RhPX0mFQcI"
220,Fri Nov 12 11:19:28 +0000 2021,"$fragmentation [15s. delayed]: Issued Press Release on November 12, 06:17:00: Meat Substitutes Market Research Report by Product, by Source, by Type, by Form, by Category, by Region - Global Forecast to 2026 - Cumulative Impact of COVID-19 https://t.co/fkcQgwaEad"
483,Fri Nov 12 16:42:51 +0000 2021,'Can't be trusted' Sturgeon skewered after passing Scottish oil field blame to Johnson https://t.co/5TlsjJJxMl
489,Fri Nov 12 14:04:51 +0000 2021,'Can't be trusted' Sturgeon skewered after passing Scottish oil field blame to Johnson https://t.co/Y3j2XaYPsM Not only can she not be trusted this lets the WORLD SEE SHE TELLS PORKIES
242,Fri Nov 12 09:41:46 +0000 2021,'Thousands' of firms facing collapse over eye-watering interest charges on Covid loans https://t.co/5NPUpnXV3p
