Unnamed: 0,date,text
1,Sat Nov 13 23:56:03 +0000 2021,"Cases: 252,874,326 (+0) 
Deaths: 5,094,264 (+21) 
Recovered: 0 (+0) 
Active Cases: 252,874,326 (100%)
Completed Cases: 5,094,264 (2.01%)
Mortality Rate: 2.01% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome"
2,Sat Nov 13 23:55:02 +0000 2021,"Cases: 252,874,326 (+3,539) 
Deaths: 5,094,243 (+0) 
Recovered: 0 (+0) 
Active Cases: 252,874,326 (100%)
Completed Cases: 5,094,243 (2.01%)
Mortality Rate: 2.01% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome"
3,Sat Nov 13 23:53:31 +0000 2021,"211113 10:00 G-SHOCK weibo x Wang Yibo

G-SHOCK CITY BATTLE in Shanghai, scheduled for Nov 20th, is postponed due to the current covid-19 situation. https://t.co/LLsCE0AivP"
4,Sat Nov 13 23:50:46 +0000 2021,"Just got an email from Fox Nation, inviting me to join Fox hosts like Tucker, Hannity, Ingraham, and Bongino ""in person"" at their awards show.

Small print at the very end: ""Attendees must show either a COVID vaccine card OR proof of a negative COVID test"" https://t.co/METBiolXWt"
7,Sat Nov 13 23:45:02 +0000 2021,"To know all &amp; accurate information subscribe to the Nitin Shukla youtube channel. (2/2)
#Scam2021

@NSO365

Time stamp 1:11:00 - 2:14:00
https://t.co/YHGosPrX6v

Report:
https://t.co/pfc7MiXANf

Website:
https://t.co/7UZ8htWZFS https://t.co/YIWhXORezk"
8,Sat Nov 13 23:44:21 +0000 2021,Once-healthy kids struggling with symptoms months after COVID-19 infection https://t.co/Nc3PTfQXMK
10,Sat Nov 13 23:38:52 +0000 2021,"So, 4% of teens reported cases of myocarditis. 

1.2-2% of children with COVID-19 end up with severe COVID and hospitalized. .00-.03% die. (Data from AAP based on reported cases through November 4) (https://t.co/wAXPPEgSaB)

Tell me again why we are risking any heart damage? https://t.co/5pRgqlPXW9"
15,Sat Nov 13 23:30:18 +0000 2021,New COVID-19 Data at 2021-11-13 06:30:00 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/wMOdozckf0
29,Sat Nov 13 23:17:58 +0000 2021,"What an excellent day, who's coming back for round two tomorrow?

Remember to have your covid requirements to hand to help keep the queue flowing nicely. And yes, tickets will be available on the door!

Sunday opening times 10:00 - 17:00 https://t.co/H7muSNvtO1"
30,Sat Nov 13 23:17:53 +0000 2021,"""Understanding Long Covid: 
""Understanding Long Covid: the Unseen Public Health Crisis""isis""

Friday November 19
2:00 pm ET, 17:00 GMT, 18:00 CET.

@fi_lowenstein moderates, panel includes @ahandvanish @WesElyMD @kavitapmd and others.

registration:
https://t.co/aOBCAXbvCe https://t.co/N90LxQTpp5"
33,Sat Nov 13 23:09:52 +0000 2021,"After experiencing a breakthrough case of COVID while working in Ireland, #JaneKrakowski has withdrawn from #NBC's #AnnieLive. #MeganHilty will now fill the role of Lily St. Regis. ""Annie Live!"" will air December 2 at 8:00 PM. https://t.co/oZKXgUzHCE"
