,date,text,open_coding
369,Fri Nov 12 18:42:46 +0000 2021,"@PMOIndia #Loot@airports 4500.00 for a simple Covid test?
Why? Why?",
493,Fri Nov 12 03:09:08 +0000 2021,Dior Johnson out there looking like a LEGIT floor general 😤🔥 https://t.co/zVLbqIsQEv,
905,Thu Nov 11 13:20:46 +0000 2021,"The work was done by Corner Brook Stream Trail with a contribution of $15,000.00 of in-kind design and work. The City contributed $50,000.00, with the Province giving $29,000.00 through the Covid-19 Stimulus Program and $7000.00. Walmart also contributed with $1000.00.",
758,Thu Nov 11 21:30:20 +0000 2021,New COVID-19 Data at 2021-11-11 04:30:00 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/IQ47aVyyLr,
755,Thu Nov 11 21:44:03 +0000 2021,"Cases: 251,795,820 (+0) 
Deaths: 5,078,272 (+340) 
Recovered: 0 (+0) 
Active Cases: 251,795,820 (100%)
Completed Cases: 5,078,272 (2.02%)
Mortality Rate: 2.02% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome",
850,Thu Nov 11 16:09:23 +0000 2021,"$REGN [15s. delayed]: Issued Press Release on November 11, 11:03:00: CHMP Recommends EU Approval of Regeneron Antibody Cocktail to Treat and Prevent COVID-19 https://t.co/XN6zNa64zR",
604,Fri Nov 12 12:41:47 +0000 2021,"Our smallest of efforts towards improvement of mental health of children. 1st offline session post covid times is going to be conducted in accordance with Kakubhai Parikh School, Gandhidham

Date : 13/11/2021
Time: 10:00 A.M (IST) https://t.co/V13vhtHWFU",
708,Fri Nov 12 04:25:13 +0000 2021,i don't think i can wait for the mv release later. my phone battery percentage is slowly getting down to down and i'm getting ready for the vaccination later😐 so i'll be back maybe at 3-4:00?,
830,Thu Nov 11 17:08:54 +0000 2021,@Skicruiser58 @wolfblitzer So you're trying to tell me demand is higher now then it was pre covid when gas was $2.00/ga 😆,
318,Fri Nov 12 15:20:34 +0000 2021,"$REGN [15s. delayed]: Issued Press Release on November 12, 10:20:00: Regeneron Antibody Cocktail Approved by European Commission to Treat and Prevent COVID-19 https://t.co/NTDgsBFYIH",
629,Fri Nov 12 22:39:24 +0000 2021,StitchCast Studio tonight at 6:00 with Mama Cat! Followed by an all ages Open Mic! Free for under 25. Tickets $15 on MetroTix. 3524 Washington Free Covid tests next door. @awcommunities @KPdaKillaPoet @STLPoetryCenter @Uvinyl @UrbArts @BJC_HealthCare @EarthDanceFARMS https://t.co/J4O6bM18fQ,
184,Sat Nov 13 11:34:51 +0000 2021,"#Upcoming #ISBNPA SIG Aging #Webinar: Mobility patterns of older Canadians during the COVID-19 Pandemic: Virtual Spaces and Loneliness | Dec 15 at 21:00 UTC | Speaker: @amberdejohn Moderator: @DrSDogra SIG Chair: @AnneTiedemann1
More information here: https://t.co/VzI25UqOon https://t.co/XB6kobgDRk",
945,Thu Nov 11 11:07:30 +0000 2021,"[Automated]

#COVID #Maharashtra data. As on : 11 Nov 2021, 08:00 IST

Cases: 6,620,423(+1,094)
Active: 16,044(-899)
Deaths: 140,447(+17)
Vaccines: 99,669,139(+0)

Disclaimer: https://t.co/vl4PEedYsl",
736,Thu Nov 11 23:09:22 +0000 2021,"📣 A special Climate Change and Islands #COP26 event taking place today (16:00 – 18:00 GMT) will include the launch of the #COVID19 Island Insights Series Final Report (https://t.co/55NcWArX03), an initiative led by @scelg,  ...

(1/6) https://t.co/8ABgpVrbQC",
676,Fri Nov 12 01:34:27 +0000 2021,Vaccine company asks for Javid apology over approval comments https://t.co/VnjkOP9R3Q @SueJonesSays @RandolphTrent @irisstylosa @dorset_eye @GivingCuppa @paulapeters2 @blueannoyed @BadPutty @vamroses @charlotteh71,
785,Thu Nov 11 19:30:19 +0000 2021,New COVID-19 Data at 2021-11-11 02:30:00 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/Oo5pIcpth1,
896,Thu Nov 11 14:21:33 +0000 2021,"COVID TRUMP Thu, 11 Nov 2021 07:00:00 CST",
972,Thu Nov 11 09:19:28 +0000 2021,"📢 26 Nov 10:00-12:00 GMT webinar talk/debate

▶️What is good youth work and why is it important (including the impact of COVID on good youth work)
▶️Inclusive youth employment
▶️Career skills
▶️Recommendations for good youth work

https://t.co/Fnfoz5pr99

@blgnokay #ESRCFestival",
872,Thu Nov 11 15:24:38 +0000 2021,"After weeks of declines, U.S. Covid cases have stalled at a high level: 'The ERs are packed' https://t.co/WjKdhzCM4j",
213,Sat Nov 13 09:14:15 +0000 2021,"In action Away!

Sunday 14th November

@LochLomondRFC v Strathaven RFC Boys U16 A
KO @ 14:00

***

No 1st XV, 2nd XV or U18 fixtures.

Sunday's Strathaven RFC Minis (P2-7) v Lanark RFC
Cancelled due to COVID concerns @ Lanark",
35,Sat Nov 13 21:53:02 +0000 2021,"Cases: 252,862,000 (+7,298)
Deaths: 5,094,068 (+0)
Recovered: 0 (+0)
Active Cases: 252,862,000 (100%)
Completed Cases: 5,094,068 (2.01%)
Mortality Rate: 2.01% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome",
521,Fri Nov 12 14:00:35 +0000 2021,Good Morning! Enjoy continental breakfast in the Exhibit Hall from 7:30 am - 8:30 am before heading to the Grand Ballroom I-II for the New Frontiers Lecture - COVID 19: Developing a Vaccine During a Pandemic     The registration desk is open from 7:00 am - 5:30 pm.  #ASCyto21,
292,Sat Nov 13 00:30:19 +0000 2021,New COVID-19 Data at 2021-11-12 07:30:00 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/IJrQ3qivNX,
798,Thu Nov 11 19:00:00 +0000 2021,"Do You Want to Get Well? a free Zoom webinar, assisting those who have experienced emotional challenges in dealing with COVID-19. The webinar will be  November 15 from 1:00 to 3:00 p.m. To register 
 click below.
https://t.co/BabbxM8eOT",
51,Sat Nov 13 20:32:07 +0000 2021,"COVID booster shots allowed for all adults in California, Colorado and New Mexico https://t.co/Y0fp3fn59a",
252,Sat Nov 13 03:54:03 +0000 2021,"Cases: 252,500,594 (+55,455)
Deaths: 5,087,650 (+252)
Recovered: 0 (+0)
Active Cases: 252,500,594 (100%)
Completed Cases: 5,087,650 (2.01%)
Mortality Rate: 2.01% (-0.01%)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome",
31,Sat Nov 13 22:01:31 +0000 2021,"@BobChar20165357 I strongly advise the use of Hyperbaric Oxygen Therapy (HBOT) as an alternative in treating COVID. They can@be operated by untrained personnel 500 x Hyperbaric oxygen chambers = $8,000,000 USD or $11,332,568.00 NZD + shipping/tax.https://t.co/HX6WdxYEcg https://t.co/MInI3nRfOZ",
532,Fri Nov 12 19:30:28 +0000 2021,"How has #mobility been affected by #COVID?

Join us for a the #webinar “Migration insights during the COVID-19 #pandemic”

Thursday, November 18th, 2021

11:00 AM  EST (Eastern Time) /
4:00 PM GMT (UK Time)

https://t.co/DtFybs0TQu

#data #COVID19 #covid #pandemic #recovery #gis https://t.co/UYAf9GK5W0",
741,Thu Nov 11 22:46:03 +0000 2021,"Cases: 251,825,433 (+0) 
Deaths: 5,078,505 (+233) 
Recovered: 0 (+0) 
Active Cases: 251,825,433 (100%)
Completed Cases: 5,078,505 (2.02%)
Mortality Rate: 2.02% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome",
445,Fri Nov 12 08:10:41 +0000 2021,"Capistrano USD COVID Case Count as of: 00:10 on 11-12-2021

Total Active Cases: 76

Source: https://t.co/7qmcYNQzk7",
501,Fri Nov 12 17:23:45 +0000 2021,"EVEN AT £3.00 A JAB, ASTRA-ZENECA MADE A FORTUNE. DESPICABLE MONEY-GRABBING CEOs should pay OXFORD UNIVERSITY FOR THE EXPERTISE!!! 🤔🇬🇧😒🤬😝
AstraZeneca accused of 'breaking promises' as firm set to draw profits from Covid vaccine https://t.co/FZt5EgBZCU",
223,Sat Nov 13 07:57:03 +0000 2021,"Cases: 252,541,971 (+11,622)
Deaths: 5,089,402 (+0)
Recovered: 0 (+0)
Active Cases: 252,541,971 (100%)
Completed Cases: 5,089,402 (2.02%)
Mortality Rate: 2.02% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome",
934,Thu Nov 11 12:09:22 +0000 2021,"@yaf @Mike_Pence This is a joke, right??? You expected Americans to have faith I you during Covid and you LIED to us to further your career. YOU sacrificed over 600,00 American lives.",
185,Sat Nov 13 11:30:19 +0000 2021,New COVID-19 Data at 2021-11-13 06:30:00 am EST #Coronavirus #COVID19 #COVID_19 https://t.co/E5BntnaxSK,
322,Fri Nov 12 11:19:29 +0000 2021,"$dominance [15s. delayed]: Issued Press Release on November 12, 06:17:00: Meat Substitutes Market Research Report by Product, by Source, by Type, by Form, by Category, by Region - Global Forecast to 2026 - Cumulative Impact of COVID-19 https://t.co/RhPX0mFQcI",
837,Thu Nov 11 16:54:15 +0000 2021,Moderna Defends Covid Vaccine Against Myocarditis Issue https://t.co/YhN1U3VeGl,
569,Fri Nov 12 01:28:26 +0000 2021,LNCharter is excited to announce that we are hosting Covid (5+) &amp; Flu immunization events EVERY MONDAY THROUGH DECEMBER 13 available to any eligible member of our community. The vaccination events will be held in the MS Cafetorium from 4:00 to 7:00 pm &amp; appointments are required. https://t.co/plX2WhpjO1,
294,Sat Nov 13 00:28:15 +0000 2021,"Because Covid can't spread between people before 8:00 pm
#Science https://t.co/J8XHGsiX8d",
879,Thu Nov 11 15:03:58 +0000 2021,"VASLan &amp; @VANLinfo will be hosting ""Lanarkshire COVID-19 Online Information Event"".

🗓️ Friday, November 26 at 10.00 am

Book your place below:
🌐 https://t.co/RrB6yxXt3K

We will discuss current guidance on COVID-19 safety arrangements and Q&amp;A with NHS Lanarkshire staff. https://t.co/QemXrz9Rt8",
511,Fri Nov 12 13:01:46 +0000 2021,"Flu shot fact: the flu virus is always changing, so it's important to get vaccinated every year. Register for the influenza vaccination clinic on Thurs., Nov. 18 from 1:00 to 3:00 p.m. in HC 201 by contacting the Health Clinic at 902-420-5611. https://t.co/9ZvBxbvX01",
812,Thu Nov 11 18:14:38 +0000 2021,"If you receive a text informing that you have been awarded NGN95,000.00 as COVID-19 Survival Fund and Mr. Davies is your contact to redeem payment, let not your greediness lead you.

Na SCAM 🗣

Signed
Management",
598,Fri Nov 12 17:28:05 +0000 2021,"One will be called Johnson, the other, Johnson. https://t.co/FtXc59iuzw",
984,Thu Nov 11 08:21:16 +0000 2021,"SkyRocket is feeling very proud to share our community that we have donated Rs.100,000.00 to Hamro Team Nepal who have been working hard to support the Covid-19 patients as well as their families who have been impacted by providing them free oxygen cylinders, free food etc",
513,Fri Nov 12 16:33:38 +0000 2021,"From sending those without shots into lockdown to forcing them to pay their own Covid medical bills, here are some of the steps being taken to try to encourage more people to get immunized.
Not Vaccinated? Prepare to Pay as Governments Ready Crackdowns https://t.co/IXaeWafjt3",
275,Sat Nov 13 01:51:02 +0000 2021,The Board of Health will close at 12:00 pm on November 18th due to Flu and Covid Clinic https://t.co/DsmHHLgMg3,
360,Fri Nov 12 18:26:26 +0000 2021,"@JacquelBenson @nigethugrug @DCBMEP @DavidGHFrost @BorisJohnson @Conservatives @BrandonLewis Totally unfounded. First, the UK aligning to EU standards would eliminate the need for ANY paperwork - !00% gone. Second, 80% removed is in the heading here and NOTHING in the article about your contentions.

https://t.co/FitY5HLrlE",
365,Fri Nov 12 03:16:41 +0000 2021,"@LucasCottSilv @Archaon35382820 @OokamiwolfDen @HIDEO_KOJIMA_EN Brazil’s population 212.6million
New covid cases a day 12k
00.006 percent of the population catches covid a day.
6 people in 100,000 may catch covid in a day in Brazil.

2.7% of those will die.

I’d like my odds.",
787,Thu Nov 11 19:28:35 +0000 2021,"While COVID-19 has created a slew of new regulatory areas, COBRA remains one of the biggest and most complicated employee benefits issues. Join us November 18 at 11:00 AM CT for ""A Continuing Conversation About COBRA."" https://t.co/VEPvibE7Tb https://t.co/a9mQT5Y7T8",
336,Fri Nov 12 07:09:04 +0000 2021,"2021/11/12 02:00: Biden, Xi to address Asia-Pacific leaders on trade, COVID recovery https://t.co/KQA5YGF1ZX",
894,Thu Nov 11 14:26:10 +0000 2021,ABI Members – register now and join us tomorrow at 10:00 am to discuss conflicting State and Federal COVID-19 vaccine mandates. Learn more about the newly-released federal mandate and steps that all employers will want to take in attempting compliance. https://t.co/te27hE66Ee https://t.co/GPPt476Sbr,
228,Sat Nov 13 07:11:53 +0000 2021,"메라키와 겸이랑, 💜
–––––––––––––––––
cafe event for @yugyeom in SG! 🇸🇬

#MERAKIKYUM
2021.11.13, @gtm_cafe
12:00 — 18:00

note: event rules will be released at a nearer date. all to-date covid-19 advisories strictly apply upon d-day.

see you there! 💛

#갓세븐 #저스투 #김유겸 https://t.co/wKYXIx1TIz",
918,Thu Nov 11 12:54:01 +0000 2021,"DOUBLE ROOM RM69.00 (1 Queen Bed)
(PLUS SALE)(PLUS SALE)
Please call us for more info:
☎️03-8081 4521
📱011-1088 8967 (whatsapp)
✉️usj.smilehotel@gmail.com
🌐https://t.co/CzJ59QdJy5
#lockdown #covid_19 #pkp3 #smilehotelusj #hotelbudget #luxury #weeklystay #monthlystay #subangjaya https://t.co/SZW0XDK7Os",
473,Fri Nov 12 19:45:03 +0000 2021,"Cases: 252,296,294 (+31,733)
Deaths: 5,084,933 (+560)
Recovered: 0 (+0)
Active Cases: 252,296,294 (100%)
Completed Cases: 5,084,933 (2.02%)
Mortality Rate: 2.02% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome",
885,Thu Nov 11 14:57:06 +0000 2021,Come and hear @LeukaemiaCareUK @MorecambeBHCP @MorecambeBayCCG @HKP_Info speak about how their work in earlier diagnosis of cancer &amp; CVD captures key learnings from the Community response to COVID-19. Join @THCAlliance digital event on Tues 16 Nov at 14:00 https://t.co/ehu9UJdp8A,
649,Fri Nov 12 19:19:09 +0000 2021,"There will be a vaccine clinic for any ARPS student 5+ or staff interested in receiving one. The ARHS will be holding the clinic on Tuesday, November 23rd from 3:00-5:30 pm. Boosters will also be available for adults.",
800,Thu Nov 11 18:55:03 +0000 2021,"Cases: 251,764,281 (+0) 
Deaths: 5,077,791 (+360) 
Recovered: 0 (+0) 
Active Cases: 251,764,281 (100%)
Completed Cases: 5,077,791 (2.02%)
Mortality Rate: 2.02% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome",
595,Fri Nov 12 18:26:40 +0000 2021,"November 18, 2021, 2:00 p.m. ET
Webcast: Return to Work After COVID-19 – Focus on Mental Health and Cognitive Limitations
@JANatJAN
#EmploymentFirst #COVID #mentalhealth #training
https://t.co/9BvQy7fwbp",
792,Thu Nov 11 19:15:38 +0000 2021,"#PRIME UPDATE 🚨 : Goa today reports 23 new COVID 19 cases on 11/11/2021 and 00 deaths

@GoaGmc  @DHS_Goa 

|| #PRIMEGOA #TV_CHANNEL #GOA #PRIMEUPDATE #COVIDVACCINATION #GOAFIGHTSCOVID19 #HEALTHBULLETINE  || https://t.co/kEpWEmEKSt",
492,Fri Nov 12 07:56:43 +0000 2021,Did you know it was 11.00 Paris time? Just leave that there for Johnson to try to work out. https://t.co/iTTFZBBhqX,
526,Fri Nov 12 17:09:52 +0000 2021,"HIGH BRIDGE RABIES CLINIC
A Rabies Clinic for dogs and cats will be held on Saturday, November 13 from 9:00 am - 10:30 am at the High Bridge Rescue Squad, 95 West Main St. The Clinic is open to all NJ residents. Proof of prior rabies vaccination is NOT REQUIRED.",
131,Sat Nov 13 15:12:59 +0000 2021,"@thesouthrhead0n @MollyJongFast @RubinReport It’s about 5 deaths after about 400,00,00 shots, sugarbritches. But they know the risks, cause, and treatment, so those were all back in the spring.

https://t.co/vk9PcmI2OB",
447,Fri Nov 12 00:46:02 +0000 2021,"Cases: 251,875,154 (+0)
Deaths: 5,078,877 (+277)
Recovered: 0 (+0)
Active Cases: 251,875,154 (100%)
Completed Cases: 5,078,877 (2.02%)
Mortality Rate: 2.02% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome",
936,Thu Nov 11 12:01:57 +0000 2021,"#Coronavirus #Covid19 #Covid_19 #SARSCoV2 #covid19world
Documents.
This page lists documents produced by WHO.
11-11-2021 - 13:00
https://t.co/moafeek73t",
955,Thu Nov 11 10:30:19 +0000 2021,New COVID-19 Data at 2021-11-11 05:30:00 am EST #Coronavirus #COVID19 #COVID_19 https://t.co/EHDkBVAw9m,
231,Sat Nov 13 06:52:33 +0000 2021,"REMINDER MEDIA ADVISORY: COVID-19 virtual press conference, 12 November at 16:00 CET https://t.co/YBjaQId39L",
399,Fri Nov 12 07:07:01 +0000 2021,"@iansuzir Get a nurse to prescribed some some herbal medicine for you. .... 😂 😂 😂 tell him it's high dependacy medication for you, though you don't have COVID 19....😂 😂 😂 it's GHc 500.00.... 😂 😂 😂 thank me later... 😂 😂 😂",
974,Thu Nov 11 09:10:31 +0000 2021,"Globally 🌐,
50,237 people died from #COVIDー19 in the last 7 days,
⟶more than the global deaths from terrorism during all of 2017 (26,445).

📈Updated: ~10 Nov 2021 23:50:00 GMT
#coronavirus #covid19 #covid_19",
262,Sat Nov 13 02:56:28 +0000 2021,It’s two-measly minutes. Please take the time to see how the mRNA vaccine works to fight Coronavirus. Please spread it far and wide… https://t.co/GAM46GwoJc,
341,Fri Nov 12 00:12:44 +0000 2021,"@49erscap Hi! Thanks for asking! The exclusive event, SOUTH PARK: POST COVID, is available to stream November 25 only on Paramount+. Start your free trial at https://t.co/vryqXRq3Cz. Thank you! *MG",
500,Fri Nov 12 04:38:04 +0000 2021,EU authorizes 2 medicines for people at risk of severe COVID https://t.co/dQtqv2mkcW,
58,Sat Nov 13 19:59:00 +0000 2021,Top CDC official told Congress migrant expulsion policy was not needed to contain COVID https://t.co/tQxylJgAhj,
686,Fri Nov 12 00:16:21 +0000 2021,"We'll take 20 credstiks, 5.00 nuyen each, thank you very much, Mr. Johnson. https://t.co/TcDSemlCr6",
753,Thu Nov 11 21:51:47 +0000 2021,"Ted Cruz called Big Bird getting COVID-19 vaccine ""propaganda."" This isn't the first time Sesame Street encouraged kids to get important vaccines. https://t.co/YuaKhdZ9Wy",
475,Fri Nov 12 21:46:03 +0000 2021,"Cases: 252,340,354 (+17,322)
Deaths: 5,085,702 (+216)
Recovered: 0 (+0)
Active Cases: 252,340,354 (100%)
Completed Cases: 5,085,702 (2.02%)
Mortality Rate: 2.02% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome",
578,Fri Nov 12 05:44:58 +0000 2021,"Matthew McConaughey says he opposes vaccine mandates for ""younger kids""  https://t.co/gwp0rUVJxE",
682,Fri Nov 12 18:34:13 +0000 2021,"We are still with high covid rates 1811 per 100,00.  Or 1 in 55 testing positive in a 2 week period.  @TweetsinEpping @Marytait6 @lell_sutherland @TulipandSweep @AngelaStillwell @claraandstorm @AlmaTheCat1 @Dollythercat @AngusMcPussPuss @archie_pen @OssieAndLuna https://t.co/0srXLum28o",
207,Sat Nov 13 09:26:04 +0000 2021,2 Million COVID Home Test Kits Recalled: Title: 2 Million COVID Home Test Kits Recalled Category: Health News Created: 11/11/2021 12:00:00 AM Last Editorial Review: 11/12/2021 12:00:00 AM https://t.co/BI8phNq4Ve,
111,Sat Nov 13 16:00:18 +0000 2021,New COVID-19 Data at 2021-11-13 11:00:00 am EST #Coronavirus #COVID19 #COVID_19 https://t.co/Qe4MBOrYse,
552,Fri Nov 12 16:55:05 +0000 2021,It's official! 🎉  Kids ages 5 years and older can now get vaccinated for COVID-19. Join @childrensmn this Sunday for a vaccine clinic for children ages 5-11 from 12:00 - 5:00 pm. Sign up: https://t.co/F2H2gY7hgH https://t.co/Yhag0XbRX7,
594,Fri Nov 12 18:10:37 +0000 2021,Not vaccinated against COVID-19? prepare to pay as countries and their governments are ready to crackdown https://t.co/F50CPt6iEI,
201,Sat Nov 13 09:58:03 +0000 2021,"Cases: 252,622,710 (+62,836)
Deaths: 5,091,474 (+0)
Recovered: 0 (+0)
Active Cases: 252,622,710 (100%)
Completed Cases: 5,091,474 (2.02%)
Mortality Rate: 2.02% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome",
462,Fri Nov 12 08:51:02 +0000 2021,"Cases: 251,993,890 (+20,641)
Deaths: 5,080,990 (+138)
Recovered: 0 (+0)
Active Cases: 251,993,890 (100%)
Completed Cases: 5,080,990 (2.02%)
Mortality Rate: 2.02% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome",
572,Fri Nov 12 02:38:51 +0000 2021,"Leaders were more humane in 1905.What happen now?In 1905 there was no mandates for small pox vaccine. Only $5.00 fine that is equal to $150.00 today. @SenSchumer @ericadamsfornyc @GovKathyHochul @teacher_choice
https://t.co/a6Lt7c2lzp",
337,Fri Nov 12 16:34:18 +0000 2021,"21.30 Pfizer's new clot shot ingredient
31.00 it's gene editing
https://t.co/0puMt8x0oa",
194,Sat Nov 13 10:44:03 +0000 2021,"Cases: 252,662,220 (+39,510)
Deaths: 5,091,474 (+0)
Recovered: 0 (+0)
Active Cases: 252,662,220 (100%)
Completed Cases: 5,091,474 (2.02%)
Mortality Rate: 2.02% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome",
516,Fri Nov 12 21:38:05 +0000 2021,Gain the insights you need to create and implement a worker vaccine program and guidance to avoid potentially costly missteps. Join us on Nov. 18 at 1:00 PM ET for our complimentary CLE-eligible vaccine mandates webinar. https://t.co/ptouzhJzR4 https://t.co/elAms3Z97j,
302,Fri Nov 12 00:22:38 +0000 2021,"""【Medicine Buddha Practice @ Powerful Day】It's a time to help purify those who have sickness and those who have already passed. Special dedication to those who passed away or suffer from COVID 19.
12th Nov Friday, 23:15 - 00:00 AEST UTC +10
https://t.co/wTHNutUGAV"" https://t.co/L8cQ8iCxuh",
24,Sat Nov 13 22:16:24 +0000 2021,Sing praises to the Lord! Join us online or in-person Sunday at 10:00 for our Worship Service lead by guest speaker Brent Ellis. Message: Looking Ahead. For Covid Protocols and Zoom link visit https://t.co/1X38ZhSDoI #HamOnt #Churches,
538,Fri Nov 12 17:57:34 +0000 2021,I know a lot of people who regret getting the vaccine. Don’t know anyone who regrets not getting it.,
439,Fri Nov 12 09:43:14 +0000 2021,"COVID-19 UPDATE IN MUNTINLUPA
[As of November 12, 2021, 5:00 PM]

Follow the official social media sites of Muntinlupa LGU and DOH for updates.

CGM Facebook: https://t.co/5qfnxa9jEg
CGM Twitter: @OFFICIALMUNTI
DOH Facebook: https://t.co/6GSZGPHqic
DOH Twitter: @DOHgovph https://t.co/nJuTd1fBEP",
396,Fri Nov 12 18:40:06 +0000 2021,"@gigglechamp4gnf rowan u cant, u have covid",
190,Sat Nov 13 11:00:18 +0000 2021,New COVID-19 Data at 2021-11-13 06:00:00 am EST #Coronavirus #COVID19 #COVID_19 https://t.co/qwTk99kFxL,
