,date,text
494,Fri Nov 12 02:36:44 +0000 2021,"Do you still think Japan is a vaccine hesitant country?

Vaccine uptake (one-dose)
Germany: 69 %
Japan: 78%

Daily doses given
Germany: 50,000
Japan: 300,00

Daily cases （11.10)
Germany: 50,196
Japan:　204 https://t.co/5HqSTS3nKp"
602,Fri Nov 12 21:15:04 +0000 2021,"Our next school site COVID-19 vaccine clinic will be this Monday, 11/15 KIPP LA Preparatory School 2810 Whittier Blvd, 2:00 - 5:00pm. Moderna, Pfizer vaccines, Pediatric Pfizer vaccine and booster shots for all eligible!

Register here: https://t.co/xRYVr33MDi https://t.co/W8SZICrxzQ"
8,Sat Nov 13 23:17:58 +0000 2021,"What an excellent day, who's coming back for round two tomorrow?

Remember to have your covid requirements to hand to help keep the queue flowing nicely. And yes, tickets will be available on the door!

Sunday opening times 10:00 - 17:00 https://t.co/H7muSNvtO1"
488,Fri Nov 12 02:11:25 +0000 2021,"Covid-19 Bulletin #Nagaland status as on 9th November 2021 at 5:00 PM.
#TogetherWeCan
#NagalandAgainstCovid19
#FlattenTheCurve
@dipr_nagaland @StateDisaster @ddnewskohima @airnews_kohima
Source-@HealthNagaland https://t.co/cnvaMkrrBe"
797,Thu Nov 11 19:00:19 +0000 2021,New COVID-19 Data at 2021-11-11 02:00:00 pm EST #Coronavirus #COVID19 #COVID_19 https://t.co/9Crro2Lixt
276,Sat Nov 13 01:50:47 +0000 2021,Why aren't more pregnant women of color getting vaccinated? Doctors point to distrust and poor outreach https://t.co/iylkvPojgs
958,Thu Nov 11 10:10:12 +0000 2021,"So @BBC6Music news bulletins today  still no news about government corruption, mishandling of covid ..
Criminal behaviour by the Tory Cabinet etc 

The news (every bulletin since 5.00) about the new dinosaur with the big nose is great though.. thanks 

#ToryCorruption 
BBC News"
500,Fri Nov 12 04:38:04 +0000 2021,EU authorizes 2 medicines for people at risk of severe COVID https://t.co/dQtqv2mkcW
872,Thu Nov 11 15:24:38 +0000 2021,"After weeks of declines, U.S. Covid cases have stalled at a high level: 'The ERs are packed' https://t.co/WjKdhzCM4j"
458,Fri Nov 12 05:49:02 +0000 2021,"Cases: 251,944,060 (+2,302)
Deaths: 5,080,009 (+0)
Recovered: 0 (+0)
Active Cases: 251,944,060 (100%)
Completed Cases: 5,080,009 (2.02%)
Mortality Rate: 2.02% (No Change)
Case Fatality Rate: 100.00% (No Change)

#COVID19 #Coronavirus #StayHome"
